Date,ACWI,SP500,RUSSELL1000,EW,GMV,RP,GMV_EW
2011-02-01,0.029125336,0.033569889,0.034153216,0.012587482,-0.000607683,0.00998385,0.005989899
2011-03-01,-0.001003622,-3.81719E-05,0.002148634,0.025847379,0.005507969,0.021938341,0.015677674
2011-04-01,0.040912165,0.029279,0.029758301,0.047775235,0.026721874,0.039949251,0.037248555
2011-05-02,-0.021490363,-0.011974632,-0.011326065,-0.028427931,0.012573088,-0.018098205,-0.007927421
2011-06-01,-0.015758086,-0.017145029,-0.017949068,-0.017838772,-0.019321361,-0.018629938,-0.018580066
2011-07-01,-0.016279679,-0.02067609,-0.022019915,-0.018076173,-0.011919829,-0.013741035,-0.014998001
2011-08-01,-0.07305077,-0.055065371,-0.058278939,-0.083394611,-0.060493261,-0.075485105,-0.071943936
2011-09-01,-0.094414101,-0.070738024,-0.07505821,-0.128327091,-0.100092745,-0.119679382,-0.114209918
2011-10-03,0.107147833,0.108821407,0.111648505,0.105034156,0.087543144,0.098190647,0.09628865
2011-11-01,-0.02994034,-0.003064106,-0.00339676,-0.059214778,-0.062236709,-0.060061048,-0.060725743
2011-12-01,-0.002017467,0.00972278,0.007858112,-0.017246315,-0.000448203,-0.013787094,-0.008847259
2012-01-02,0.058143285,0.044445329,0.048378006,0.08790532,0.085792148,0.087190087,0.086848734
2012-02-01,0.050313776,0.042444474,0.043158806,0.058820415,0.055548881,0.05709059,0.057184648
2012-03-01,0.006641464,0.032434161,0.030827082,-0.009260144,0.003196129,-0.00680785,-0.003032007
2012-04-02,-0.011432781,-0.006641446,-0.006138434,-0.017517717,-0.009877439,-0.015660505,-0.013697578
2012-05-01,-0.089660372,-0.060867512,-0.062154735,-0.120252033,-0.07136867,-0.107064107,-0.095810351
2012-06-01,0.049391474,0.040708787,0.037785702,0.064089659,0.02049062,0.051344143,0.042290139
2012-07-02,0.013687462,0.01350366,0.011495353,0.0135565,0.014070942,0.014634618,0.013813721
2012-08-01,0.021747022,0.021692111,0.023524291,0.027012555,0.012580077,0.023355464,0.019796316
2012-09-03,0.031497568,0.025359911,0.025230206,0.041195618,0.031225074,0.039385167,0.036210346
2012-10-01,-0.006669877,-0.018865009,-0.017241846,0.011036064,0.000485105,0.007933176,0.005760585
2012-11-01,0.01278985,0.004917402,0.007120507,0.010960982,0.003511191,0.008582122,0.007236086
2012-12-03,0.022651116,0.008498041,0.009767031,0.036350469,0.020471356,0.032090165,0.028410912
2013-01-01,0.04606718,0.051387426,0.053857745,0.041627992,0.025088204,0.036101517,0.033358098
2013-02-01,-0.000157919,0.012818407,0.012748506,-0.014689368,0.007676363,-0.008992471,-0.003506503
2013-03-01,0.018283908,0.037048298,0.038136059,-0.007353103,0.00643281,-0.002899495,-0.000460147
2013-04-01,0.028567662,0.018911957,0.017728302,0.025011041,0.023063642,0.024660567,0.024037341
2013-05-01,-0.002738947,0.022604592,0.021524305,-0.025048715,-0.016387039,-0.025052545,-0.020717877
2013-06-03,-0.029230091,-0.013903739,-0.014099401,-0.052774892,-0.03510663,-0.049208541,-0.043940761
2013-07-01,0.047873022,0.050460164,0.053112462,0.036480653,0.019538021,0.029584737,0.028009337
2013-08-01,-0.020836594,-0.029662736,-0.028215768,-0.021900244,-0.036651366,-0.027931741,-0.029275805
2013-09-02,0.051654045,0.030875579,0.03439174,0.068501366,0.053216438,0.065643709,0.060858902
2013-10-01,0.040189083,0.045556256,0.043650555,0.052318292,0.045802916,0.051935945,0.049060604
2013-11-01,0.0141638,0.029747063,0.027399033,-0.015274349,-0.019407045,-0.017591027,-0.017340697
2013-12-02,0.017254234,0.024788302,0.026479358,-0.001903194,0.005338459,-0.000307929,0.001717633
2014-01-01,-0.040001885,-0.034876891,-0.03221979,-0.03967405,-0.032369255,-0.035290649,-0.036021652
2014-02-03,0.048309406,0.044953944,0.046757419,0.06119403,0.052325818,0.057898679,0.056759924
2014-03-03,0.00444485,0.007965587,0.005923533,0.020609363,0.022593363,0.020958348,0.021601363
2014-04-01,0.009517033,0.007034251,0.004389722,0.014217165,0.018088286,0.016218391,0.016152725
2014-05-01,0.021269634,0.022740897,0.022305724,0.016766961,0.01330631,0.015031523,0.015036636
2014-06-02,0.0188293,0.020175964,0.022275227,-0.000357821,-0.011532605,-0.00883524,-0.005945213
2014-07-01,-0.012128637,-0.014175986,-0.016524078,-0.008216435,0.029206913,0.009940167,0.010495239
2014-08-01,0.022090939,0.039296778,0.040688403,0.011557551,0.014615383,0.013507858,0.013086467
2014-09-01,-0.032430199,-0.014468851,-0.017976044,-0.040438069,-0.015730322,-0.030728619,-0.028084195
2014-10-01,0.007042583,0.024059029,0.024108689,-0.016090187,-0.010858366,-0.014645623,-0.013474277
2014-11-03,0.016728606,0.026185758,0.025529227,0.002556484,-0.00734209,0.001013025,-0.002392803
2014-12-01,-0.019300529,-0.003022845,-0.002802203,-0.054569603,-0.037366738,-0.04899898,-0.045968171
2015-01-01,-0.015630688,-0.030325912,-0.027749516,-0.016376078,-0.006576905,-0.01252593,-0.011476491
2015-02-02,0.05567146,0.056699333,0.057089287,0.053214848,0.021354521,0.044079443,0.037284684
2015-03-02,-0.015497924,-0.016291824,-0.012934362,-0.020889036,-0.004966022,-0.017581614,-0.012927529
2015-04-01,0.029017558,0.009274866,0.006817585,0.054761389,0.038899179,0.047811302,0.046830284
2015-05-01,-0.001304646,0.012147217,0.012422176,-0.027722158,-0.025818033,-0.027897106,-0.026770095
2015-06-01,-0.023543231,-0.019853839,-0.019245073,-0.021733273,-0.019043316,-0.020130802,-0.020388294
2015-07-01,0.008684669,0.020586932,0.018935978,-0.009704666,-0.000885738,-0.013247178,-0.005295202
2015-08-03,-0.068550467,-0.061008414,-0.060757194,-0.083829351,-0.085115778,-0.082384529,-0.084472564
2015-09-01,-0.03622877,-0.025253814,-0.027916612,-0.040559736,-0.03287518,-0.037400807,-0.036717458
2015-10-01,0.078481709,0.083944068,0.080532002,0.061558887,0.053876347,0.056948309,0.057717617
2015-11-02,-0.00825604,0.002231014,0.002625717,-0.037645228,-0.050098136,-0.044042244,-0.043871682
2015-12-01,-0.018033046,-0.016299771,-0.018503706,-0.010383207,0.022505099,-0.001152501,0.006060946
2016-01-01,-0.060310712,-0.04995748,-0.054136936,-0.055724028,-0.069047055,-0.058708655,-0.062385542
2016-02-01,-0.006883265,-0.002184698,-0.001110501,0.000385415,0.011270907,0.006839228,0.005828161
2016-03-01,0.074109665,0.06728702,0.069100133,0.108227261,0.083806652,0.102447219,0.096016957
