Date,RF_m,ACWI_m,SP500_m,RUSSELL1000_m,EW_m,GMV_m,RP_m,GMV_EW_m,YoY_Infl,CPI,HI1,HI2,MKT_exc,SMB,HML,MOM,ACWI_exc,SP500_exc,RUSSELL1000_exc,EW_exc,GMV_exc,RP_exc,GMV_EW_exc
2007-06-01,0.004000000000,-0.002939023857,-0.016974111522,-0.019470043947,0.017450241985,0.008758288330,0.015389002268,0.013104265158,0.027000000000,208.352000000000,0,0,-0.0079,-0.0166,0.001,0.001,-0.006939023857,-0.020974111522,-0.023470043947,0.013450241985,0.004758288330,0.011389002268,0.009104265158
2007-07-02,0.004000000000,-0.015271257167,-0.031297648664,-0.031174946576,0.015999266500,0.003007090120,0.011813503588,0.009503178310,0.024000000000,208.299000000000,0,0,-0.0237,-0.0294,0.025,0.0261,-0.019271257167,-0.035297648664,-0.035174946576,0.011999266500,-0.000992909880,0.007813503588,0.005503178310
2007-08-01,0.004200000000,-0.002766661155,0.014350279366,0.012970788886,-0.029794523847,-0.035398457431,-0.031482853605,-0.032596490639,0.020000000000,207.917000000000,0,0,-0.0114,0.0021,-0.0074,-0.0086,-0.006966661155,0.010150279366,0.008770788886,-0.033994523847,-0.039598457431,-0.035682853605,-0.036796490639
2007-09-03,0.003200000000,0.053681223897,0.036919907802,0.037730031795,0.079714347738,0.069985182808,0.075400518172,0.074849765273,0.028000000000,208.490000000000,0,0,0.0442,-0.0147,0.005,0.049,0.050481223897,0.033719907802,0.034530031795,0.076514347738,0.066785182808,0.072200518172,0.071649765273
2007-10-01,0.003200000000,0.039012122939,0.015577618987,0.017120680371,0.071931978937,0.068997655623,0.072115012455,0.070464817280,0.035000000000,208.936000000000,0,0,0.0318,0.0051,-0.0037,0.0378,0.035812122939,0.012377618987,0.013920680371,0.068731978937,0.065797655623,0.068915012455,0.067264817280
2007-11-01,0.003400000000,-0.044213990594,-0.042474352953,-0.043258785942,-0.044771420245,-0.023538733534,-0.037043462509,-0.034155076889,0.043000000000,210.177000000000,0,1,-0.0465,0.0034,0.004,-0.0045,-0.047613990594,-0.045874352953,-0.046658785942,-0.048171420245,-0.026938733534,-0.040443462509,-0.037555076889
2007-12-03,0.002700000000,-0.011069758103,-0.007447071793,-0.007022163704,0.000035876631,0.017264524169,0.005226203455,0.008650200400,0.041000000000,210.036000000000,0,1,-0.0153,-0.0017,0.0136,0.0264,-0.013769758103,-0.010147071793,-0.009722163704,-0.002664123369,0.014564524169,0.002526203455,0.005950200400
2008-01-01,0.002100000000,-0.081905781699,-0.060336385892,-0.060283449436,-0.088329373145,-0.028325487137,-0.068293008970,-0.058327430141,0.043000000000,211.080000000000,0,1,-0.0785,0.0084,0.0013,-0.0491,-0.084005781699,-0.062436385892,-0.062383449436,-0.090429373145,-0.030425487137,-0.070393008970,-0.060427430141
2008-02-01,0.001300000000,0.002826736863,-0.033169136059,-0.031196000041,0.042009649768,0.025867596232,0.038897292294,0.033938623000,0.040000000000,211.693000000000,0,1,-0.0004,0.0144,0.0078,0.0507,0.001526736863,-0.034469136059,-0.032496000041,0.040709649768,0.024567596232,0.037597292294,0.032638623000
2008-03-03,0.001700000000,-0.014670538762,-0.004810475259,-0.007261213720,-0.016305306906,-0.020482144527,-0.013755640893,-0.018393725716,0.040000000000,213.528000000000,0,1,-0.0125,0.0023,0.0048,0.0058,-0.016370538762,-0.006510475259,-0.008961213720,-0.018005306906,-0.022182144527,-0.015455640893,-0.020093725716
2008-04-01,0.001800000000,0.055785790683,0.048357334831,0.050360400587,0.046891490721,0.029087885938,0.038534144445,0.037989688330,0.039000000000,214.823000000000,0,1,0.0492,-0.0091,0.0031,-0.0047,0.053985790683,0.046557334831,0.048560400587,0.045091490721,0.027287885938,0.036734144445,0.036189688330
2008-05-01,0.001800000000,0.015630081060,0.012268266085,0.017702608326,0.011192700223,-0.011245444994,0.004436809372,-0.000026372386,0.042000000000,216.632000000000,0,1,0.0183,-0.0086,0.0063,0.0268,0.013830081060,0.010468266085,0.015902608326,0.009392700223,-0.013045444994,0.002636809372,-0.001826372386
2008-06-02,0.001700000000,-0.082111197281,-0.084803984105,-0.083552134304,-0.085595892153,-0.060190507708,-0.072223830860,-0.072893199930,0.050000000000,218.815000000000,0,1,-0.0806,0.0101,0.0006,0.0923,-0.083811197281,-0.086503984105,-0.085252134304,-0.087295892153,-0.061890507708,-0.073923830860,-0.074593199930
2008-07-01,0.001500000000,-0.025970260150,-0.008838729329,-0.012045970026,-0.026907755338,-0.033350851310,-0.031034330038,-0.030129303324,0.056000000000,219.964000000000,1,1,-0.0279,0.0022,-0.009,-0.0435,-0.027470260150,-0.010338729329,-0.013545970026,-0.028407755338,-0.034850851310,-0.032534330038,-0.031629303324
2008-08-01,0.001300000000,-0.021556050046,0.013777405056,0.013137515516,-0.056929704191,-0.053976666091,-0.055018178422,-0.055453185141,0.054000000000,219.086000000000,1,1,-0.021,-0.035,-0.0048,-0.0332,-0.022856050046,0.012477405056,0.011837515516,-0.058229704191,-0.055276666091,-0.056318178422,-0.056753185141
2008-09-01,0.001500000000,-0.124975563588,-0.089607760525,-0.095779167977,-0.158530470801,-0.106258789854,-0.144600773113,-0.132394630328,0.049000000000,218.783000000000,1,1,-0.1228,-0.0212,-0.0163,0.0017,-0.126475563588,-0.091107760525,-0.097279167977,-0.160030470801,-0.107758789854,-0.146100773113,-0.133894630328
2008-10-01,0.000800000000,-0.198153629719,-0.168393665414,-0.175026079449,-0.262956627402,-0.182188537781,-0.239250064902,-0.222572582591,0.037000000000,216.573000000000,1,1,-0.1951,0.0089,-0.0301,0.0754,-0.198953629719,-0.169193665414,-0.175826079449,-0.263756627402,-0.182988537781,-0.240050064902,-0.223372582591
2008-11-03,0.000300000000,-0.065695082222,-0.072684578789,-0.076509403796,-0.066936080469,-0.075500641724,-0.068556158829,-0.071218361097,0.011000000000,212.425000000000,0,0,-0.0653,-0.0353,-0.0065,0.0417,-0.065995082222,-0.072984578789,-0.076809403796,-0.067236080469,-0.075800641724,-0.068856158829,-0.071518361097
2008-12-01,0.000000000000,0.036242598903,0.009799544786,0.015140545815,0.053692149234,0.009361093876,0.029160953343,0.031526621555,0.001000000000,210.228000000000,0,0,0.0444,-0.0082,0.0076,-0.023,0.036242598903,0.009799544786,0.015140545815,0.053692149234,0.009361093876,0.029160953343,0.031526621555
